上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:105/07/11
產業類別:全部
股票代號,名稱,本益比,每股股利,殖利率(%),股價淨值比
"4429","聚紡","46.33","0.50","2.20","0.73"
"4430","耀億","12.51","1.20","4.38","0.78"
"4432","銘旺實","14.06","4.00","5.71","2.28"
"4433","興采","12.73","1.00","3.21","1.37"
"4502","健信","117.62","0.00","0.00","3.95"
"4503","金雨","122.50","0.00","0.00","2.42"
"4506","崇友","10.31","1.70","5.67","1.62"
"4510","高鋒","25.69","0.80","4.32","0.87"
"4513","福裕","7.70","0.50","5.32","0.76"
"4523","永彰","N/A","0.20","1.01","0.66"
"4527","方土霖","10.21","1.80","7.38","1.44"
"4528","江興鍛","15.90","2.00","3.99","2.24"
"4529","昶洧","N/A","0.00","0.00","1.42"
"4530","宏易","N/A","0.00","0.00","0.95"
"4533","協易機","16.35","0.50","3.60","0.83"
"4534","慶騰","52.11","0.50","1.35","3.05"
"4535","至興","11.25","2.25","5.80","1.28"
"4541","晟田","47.94","0.90","2.76","1.29"
"4542","科嶠","N/A","0.60","3.47","0.91"
"4543","萬在","17.26","1.20","5.23","0.86"
"4549","桓達","19.36","3.00","3.81","2.37"
"4550","長佳","14.15","1.30","5.60","1.14"
"4556","旭然","43.64","0.75","2.12","2.01"
"4609","唐鋒","273.00","0.00","0.00","0.86"
"4702","中美實","N/A","0.00","0.00","0.69"
"4706","大恭","12.85","0.90","4.30","1.20"
"4707","磐亞","10.86","0.60","7.18","0.52"
"4711","永純","14.85","0.70","4.81","0.79"
"4712","南璋","N/A","0.00","0.00","1.24"
"4714","永捷","52.06","0.50","5.34","0.69"
"4716","大立","20.20","0.50","4.85","0.85"
"4721","美琪瑪","20.78","1.40","3.74","2.47"
"4726","永昕","N/A","0.00","0.00","3.75"
"4728","雙美","N/A","0.00","0.00","5.01"
"4729","熒茂","10.74","0.00","0.00","0.95"
"4735","豪展","15.32","2.43","7.20","2.54"
"4736","泰博","18.66","5.00","3.30","3.59"
"4739","康普","17.96","1.56","3.41","1.52"
"4743","合一","N/A","0.00","0.00","2.21"
"4745","合富-KY","13.63","2.60","3.59","2.39"
"4747","強生","17.16","1.75","4.53","1.38"
"4762","三汰-KY","14.85","2.80","4.17","2.31"
"4803","VHQ-KY","32.02","1.00","0.65","4.77"
"4804","大略-KY","22.06","4.00","3.49","4.52"
"4806","昇華","36.45","1.50","1.95","1.74"
"4903","聯光通","76.76","0.16","1.23","1.21"
"4905","台聯電","11.32","1.52","3.16","0.54"
"4907","富宇","6.10","0.00","0.00","1.31"
"4908","前鼎","18.58","0.40","2.27","1.13"
"4909","新復興","9.07","1.30","5.12","0.89"
"4911","德英","N/A","0.00","0.00","7.60"
"4924","欣厚-KY","N/A","0.00","0.00","0.56"
"4933","友輝","9.91","1.25","5.43","0.61"
"4939","亞電","N/A","0.00","0.00","0.54"
"4944","兆遠","N/A","0.00","0.00","0.57"
"4946","辣椒","N/A","0.00","0.00","2.66"
"4947","昂寶-KY","17.01","8.00","3.46","3.63"
"4950","牧東","9.74","0.50","3.33","0.64"
"4953","緯軟","576.25","1.00","4.34","1.00"
"4965","商店街","48.15","2.14","2.35","4.07"
"4966","譜瑞-KY","17.88","5.02","1.71","3.31"
"4971","IET-KY","40.40","2.50","2.47","2.35"
"4972","湯石","9.11","3.00","7.50","1.25"
"4973","廣穎","14.13","1.20","5.31","0.88"
"4974","亞泰","10.35","2.65","8.13","1.20"
"4979","華星光","6.21","3.01","6.45","1.66"
"4987","科誠","8.96","5.00","8.58","1.65"
"4991","環宇-KY","21.27","2.50","2.71","3.12"
"4995","晶達","13.10","2.52","7.64","2.05"
"5009","榮剛","15.05","1.00","6.04","0.83"
